n: 6, k: 1000, t: 700
Entropy, Sampling, Jensen, Exact
1.4141294980084747, -0.0001016952616754869, -9.114841586024372e-05, -9.111098740611928e-05
1.2062454403284406, -0.0004871148053198137, -0.0005395805461862339, -0.0005388740228981405
1.2151399416459991, -0.0004824094646809927, -0.0004687267070718875, -0.0004684298533853708
1.4359743313173272, -0.0002140404111195522, -0.00019909336863680968, -0.0001988495531965435
1.4215607924984734, -0.000654775373484806, -0.0006494141962466089, -0.0006483783453863169
1.455041493248399, -0.0005705270525431584, -0.0005514728293874151, -0.0005507294313267737
1.1113803679297707, -2.7385383784244953e-05, -2.9277426851611685e-05, -2.9276301088265592e-05
1.145448522907242, -5.2411101882032863e-05, -4.784984543231888e-05, -4.782578590063115e-05
1.4020617853268993, -9.985524970939602e-05, -0.0001003727730468937, -0.00010034640194171887
1.2330551857954846, -0.00018764889936205147, -0.00018523480383889927, -0.00018510213177593682
1.2365549052298166, -0.0006652154750190052, -0.0006296724258511735, -0.0006277607442905043
1.3994840614683974, -0.00021194948577243886, -0.00021280561918445332, -0.00021266060243435066
1.3873497187855932, -7.942698142319801e-05, -7.772295569458834e-05, -7.770652286614065e-05
1.3345246107788473, -0.0002917604297126478, -0.00028706316972385135, -0.00028683386267182103
1.5079295246511208, -6.0920690382643685e-05, -5.973521186798083e-05, -5.971172608496486e-05
1.3405431760823383, -7.041780935282525e-05, -7.107747887666838e-05, -7.105838302594059e-05
1.2991853285940278, -0.00037490959141720946, -0.00036460357442970765, -0.00036390739002757524
1.5736243787511126, -0.0002094381955866273, -0.00021844829517748683, -0.00021831363156539496
1.356545122603958, -0.00017322669222433952, -0.00016152290723960263, -0.00016142153210456134
1.0249506881167743, -0.0003585575037195415, -0.0003863193211543864, -0.0003860147676608092
1.4140680511324808, -0.00018916287204945735, -0.0001903241000944823, -0.00019013022130622137
1.0717906857101756, -0.0002017586453894081, -0.0001999027851752074, -0.00019976393194021973
1.1721850977491444, -0.0001685807449466274, -0.00016803786395223043, -0.0001679907381748692
1.2005546334217936, -0.0002734503384489814, -0.00033724857661924563, -0.00033679460402973965
1.3573696852024462, -0.00017395071557979526, -0.00016765910148971224, -0.00016757099096432232
1.4372271884609045, -0.00029678166117986463, -0.00031068077514667815, -0.0003103746205750716
1.5859506796527965, -0.000189391071969957, -0.00018305482676940504, -0.00018291167877120538
1.3733756285596865, -0.00019122630533266084, -0.00019816202133896783, -0.0001980321968277419
1.6825784661917922, -0.00011127375604329548, -0.00011469486003779915, -0.00011460266120081158
1.6186713027894524, -0.00021291831346930545, -0.0002089631754476068, -0.00020884249498085886
1.4756970258737983, -0.00013031549698096277, -0.00012882782835158354, -0.00012877419133722345
1.6072618580859663, -0.0003532374863188309, -0.00038037972690683624, -0.00038002537213002724
